,ID,text,labels,target
825,977,#التحول_الرقمي ضرورة في ظل التقدم التقني والانفجار المعلوماتي. وسيكون السبيل لضمان استمرارية و نمو الأعمال. لا يكون الهدف هو للحصول على التقنيات الحديثة في التحول الرقمي بقدر ما يكون التركيز على تلبية احتياجات الفئات المستهدفة  وتطوير أداء العمليات بوجود المعلومات المعتمدة.,1,Digital Transformation
570,679,التحول الرقمي أدى إلى تطورات كثيرا لدى الطالب وساعده في المشكلات الى يواجه الطالب  الشكر والتقدير للتحول الرقمي,1,Digital Transformation
687,817,  مشش سعيده ابدا بالفرض اللي تتكلمون  عليه  تحقنون بنتي بماده تم رفضها من الربيعه ذات نفسه  تطعيم كورونا ثلاث جرعات اجباريه  والان الورم اللوحيمي بدون علمي لا انا ولا ابوهاا وتقولون حقوق طفل وش حقوقه وانتم تطعمونه بدون علم ولي امره و,0,Covid Vaccine
252,307, تشكر الدولة ممثلة بوزارة العدل على استحداث هذا البرنامج الذي يشمل جميع إجراءات التقاضي المطبقة إلكترونيا والذي يسهل سير عملية التقاضي الإلكتروني الذي يستكمل منظومة التحول الرقمي  طريقة سهلة وميسرة لكافة الفئات المعنية ولله الحمد شكراً للأستاذ ,1,Digital Transformation
3174,3728,تم تدشين🎀منصة دعم المرأة البحرينية🎀 بالتعاون مع أعضاء وعضوات🌴#منتدى_البحرين_الاقتصادي🌴 بهدف تمكين المرأة بالفرص والمشاريع. 🌿يمكن للجميع مؤسسات وأفرادا الدخول مجانا لإعلان خدماتهم ومنتجاتهم لدعم المرأة. 🎀🌷وفقكم الله لخدمة المرأة والوطن 🇧🇭 🎀🌷 ,2,Women empowerment
2034,2391,ان شاء الله الجميع يتطعم وترجع الحياة #تطعيم_كورونا,0,Covid Vaccine
1573,1854,الحمدلله على وصول اللقاح لكويتنا الحبيبة 💉 .. إن لم تكن من مؤيدي التطعيم ضد كورونا لا تكن من ناشري الرعب و الخوف والقلق بين متلقيه 🩹🦠.. فبعضهم يقي نفسه من باب أخذ الأسباب والبعض الآخر مجبور عليه لظروف صحية حرجة . #لقاح_فايزر #وزارة_الصحة #تطعيم_كورونا,0,Covid Vaccine
3324,3908, نطالب بوضع غرامة مشددة على رمي السيجارة المشتعلة تحت السيارات   #تمكين_المرأة,2,Women empowerment
1362,1609,التقى نائب محافظ #البصرة د. ضرغام الأجودي بمديرة قسم تمكين المرأة في ديوان المحافظة السيدة إيناس إسماعيل  وتم التداول بشأن جوانب متعددة تتعلق بخطة عمل القسم  وخلال اللقاء أكد #الأجودي على أهمية القسم في تبني ودعم قضايا المرأة البصرية. URL,2,Women empowerment
3219,3784,"لا يعجبني لفظ ""تمكين المرأة""   بالذات خارج الحقوق والقانون وان اختلفت اشكاله   من حقها ان نعطيها الفرصة لتختار بدون اجبار   ولا حتى مبالغة في التثقيف (وهو اخطر)   كانها دائماً ضحية لافكار الاخرين فيجب ان يوجد عنصر ثالث ليلغي هذا التاثير ويترك اثر مضاد 🤦‍♂️  لندع المرأة... تفكر",2,Women empowerment
1803,2124,ساهمت التقنية في رفع الكفاءة الإنتاجية وتسريع الأعمال مع المحافظة على دقة المعلومات والبيانات؛ وهذا ماتهدف إليه #المملكة في تعزيز رحلة التحوّل الرقمي وبناء مجتمع ووطن رقمي. #سحاب URL,1,Digital Transformation
2914,3418,تبادل الأدلة و المذكرات إلكترونيًا سيساهم في تقصير أمد التقاضي بشكل ملحوظ  السرعة و الجودة أحد أهم سمات العصر القضائي الحديث  والاستعانة بتطبيقات الذكاء الاصطناعي لبناء هذه الأرضية خطوة صحيحة نحو هذا #التحول_التقني.,1,Digital Transformation
179,214,شكرا لحكومتنا الرشيده ووزاره الصحه علي الجهود المبذوله للحصول علي تطعيم فايروس كورونا ,0,Covid Vaccine
2246,2633,بيان الجمعية الأمريكية لطب الإنجاب بأمان تطعيم كورونا في السيدات الحوامل والسيدات اللاتي يخططن للحمل. ,0,Covid Vaccine
3204,3767,أهمها تمكين المرأة اقتصاديًا وتدريب مليون سيدة على ريادة الأعمال 👍👍 تعرف على الخطة التنفيذية المقترحة للمشروع القومي لتنمية الأسرة المصرية ⬇ #TeNTV ,2,Women empowerment
2398,2812,سنمضي بفخر واعتزاز إلى مامضى إليه العالم المتحضر من قبلنا، والبكر من المبتكرات، طالما أنه في حدود الممكن دينيا، والحمدلله ثم لقادتنا الذين يسعون إلى المراتب العليا دينينا ودنيويا في حق #الوطن و #المواطن على حدٍ سواء. #السعودية  #تمكين_المرأة ,2,Women empowerment
1308,1548,MENTION #من_حقنا_نرفض  المريض بالمستشفى وهو محتاج لعملية لايستطيع الطبيب اجباره ولابد من استشارته وتوقيعه على الموافقة فكيف يجبر شخص على تطعيم #كورونا وهو الى الأن في طور التجريب وكل يوم يخرج لنا مشاكل من  التطعيم واخرها تجلط الدم فلابد من دراسة القرار بشكل يناسب الجميع وغير اجباري,0,Covid Vaccine
242,296, التحول الإلكتروني  نفس الحال للصحف,1,Digital Transformation
494,587,  امشي مراكز تطعيم عندنا وشوف اقبال ناس وخود معاك فيديو وثق ومش هكي وبس  لم تسجل اي حاله مضاعفات باب شخص اخد لقاح. في ليبيا .. وكلام هذا عاري عن صحه ومش مزبوط صفحه غير صحيحه خلو ناس تاخد لقاح ياويلكم من ربي في بث كلام مزيف,0,Covid Vaccine
2952,3459,#القبض_علي_مدعيه_النبوه فاهمة تمكين المرأة غلط😂😂,2,Women empowerment
3293,3873,استقبل سفير #السعودية بأسبانيا  في مقر السفارة  المدير الإقليمي لمنطقة الشرق الأوسط في منظمة السياحة العالمية أ. بسمة الميمان. ونوه سعادته خلال اللقاء على ما توليه القيادة الرشيدة من أولوية في تمكين المرأة وتعزيز تواجدها في المناصب القيادية وفي المنظمات الدولية MENTION URL,2,Women empowerment
2637,3092,الغانم: تمكين المرأة ليس ترفا.. بل ضرورة قصوى ,2,Women empowerment
2265,2654,عندي بحث عن تمكين المرأة بحثت في اغلب مقالات والبحوث الموجوده بالعالم ولاحظت ان متفقين أغلب ذكور العالم ان عائق المرأة بالمناصب القيادية هو واجباتها الزوجية والاسرية وكأنها محصورة على المرأة😅,2,Women empowerment
2389,2803,والحل مع السلات المتروكه مع كل نشر بحساباتي يدخلوا الموقع ويطلبوا لين يوصلوا عن الدفع يكنسلوا ويرجعوا يطلبوا دفع عن الاستلام 😒 مع كل هذا التحول التقني للان في ناس عالقه بالدفع عند الاستلام يهوووه URL,1,Digital Transformation
597,714,أخيراً ولله الحمد  أخذنا الجرعة الاولى من تطعيم كوفيد19 Finally got my first dose  نسأل الله ان يكون تطعيم العافية من كل بلاء. #اللقاح_امن  #تطعيم_كورونا #vaccinated #CovidVaccine ,0,Covid Vaccine
2508,2944,    مع التحول التقني الذي تشهده المملكة  لماذا لايتم رفع الشكوى الكترونيا؟,1,Digital Transformation
2652,3110,المرأة السعودية..  قوة، قيادة، تمكين.  #اليوم_العالمي_للمرأة ,2,Women empowerment
355,422,  بيكون افضل بتقلل من تكلفة الطباعة و بتسهل على الناس من حمل الاوراق النقدية الكتيرة و ما عندها قيمة و بتكون كل التداولات والكتلة النقدية في البنوك بس محتاجة الحكومة تستثمر في البنى التحتية و تشجيع البنوك لانتاج منصات و تطبيقات تساعد ف,1,Digital Transformation
3085,3619, معاك انا في موضوع الكهرباء اما تمكين المراة اكثر من كذا!؟,2,Women empowerment
3463,4078,  لو ماجا منه إلا تفعيل ٩٣٧ بالطريقه السليمة لكفاه   طبعا غير التحول الالكتروني الملفت بآخر سنتين اللي فادت كثير بالأزمة هذي خصوصا الاجازات والتحويل وغيره .,1,Digital Transformation
593,709,  الله المستعاان .كيف هيساعد زوجك وهو إللي بيحض علي تمكين المرأه وهدم المجتمع وخراب البيوت لان ببساطه معروف هدف تمكين المرأه والمساواه هو هدم المجتمع المصرى وتفكيك الاسر# ومساعدة زوجك بالسياره عشان يشتغل ويصرف علي بيته هاتكون خساره,2,Women empowerment
1534,1808,إصابة وجرعتين تطعيم  يعني يا كورونا لا أشوفك قداااامي.,0,Covid Vaccine
2807,3299,انا عن نفسي خايفه من التطعيم  أكثر من إصابة الكورونا هههههه 😂😂😂😂  فليش المغامرة بهالتطعيم !!!    #تطعيم_كورونا,0,Covid Vaccine
393,462,نحن نتعرض لحملة موافقة اجبارية ممنهجة😅 ماتلاحظون ان الموافقة على شروط الواتساب الجديدة نفس الموافقة على تطعيم 💉 ڤاكسين #كورونا الجديد😂  وافق على الشروط نخليك تكمل استخدام الواتساب وماتفقد كل معلوماتك  وافق على التطعيم نخليك تسافر وماتفقد كل شغلك الخارجي  احس القرار ماسوني🤭,0,Covid Vaccine
2591,3035,كثير من المستهلكين توجهوا للشراء #اونلاين بسبب الخيارات المتاحة الكثيره والمتنوعة مما يشجع على التحول التجاري #الإلكتروني   #متجر_ساتكو URL,1,Digital Transformation
956,1124, اذا منظمه الصحة العالمية نفسها صرحت بعدم فرض شهادة تطعيم شرطا للسفر 🙂 وكذلك وزيرنا الصحه صرح بنفس التصريح.. واللقاح تجريبي الى سنه 2023 .. منو الجهة الي حابه تعرض نفسها للمساءلة القانونية بفرض لقاح تجريبي يادكتور ؟؟؟ ,0,Covid Vaccine
1463,1725,"""مشروع تمكين المرأه عندنا ثلاث أرباعه مشروع علاقات عامة ودعاية، أصلاً (تمكين المرأة) فكرة أبوية"".  - #محمد_الربيعه",2,Women empowerment
1173,1383,تحية إجلال للمرأة في جميع أنحاء العالم في يومها العالمي وتحية خاصة لبنات ديرتي البحرين على جهودهن الطيبة في شتى المجلات ونحمد الله على ديننا الحنيف في تكريمه للمرأة وشكراً لقيادتنا الرشيدة على تمكين المرأة في جميع الميادين #منى_الدلهان #اليوم_العالمي_للمرأة  ,2,Women empowerment
2516,2953,في عالم يتقدم بسرعة نحو التحول الرقمي بالكامل   تعد رسائل البريد الإلكتروني جزءًا لا غنى عنه في حياتنا العملية. جميع رسائلنا الهامة   وملخصات المهام   والبيانات الرسمية   والإعلانات   وما إلى ذلك تتم عبر البريد الإلكتروني.  #Gmail #إشعارات #إشعاراتGmail URL URL,1,Digital Transformation
1497,1764, مستقبل مرعب ينتظرنا  سنتحول فيه إلى ربوتات تتحرك بلا مشاعر أو أحاسيس فقدنا لذة الحياة ومتعتها بسبب التسهيلات المبالغ فيها بسبب التقدم التقني  بالأمس إعلان عن إغلاق 45 فرع بنكي بسبب التحول للبنوك الألكترونية والاستغناء عن مئات الموظفين  حيا,1,Digital Transformation
2575,3018,عصر تمكين المرأه السعودية ♥️✨. ,2,Women empowerment
3345,3934,MENTION MENTION تكفين روحي صححي معلوماتك وابحثي عن الحالات بامريكا 😂لان اعرف وش يصير هناك شخصيا مو عبر الميديا  اذا انت معارضه للتطعيم الاجباري طيب تطعيم الاطفال للانفلونزا و الحصبة الخ اجباري وعادي ماصار شيء الحمدلله ولا وقفت على تطعيم كورونا ؟,0,Covid Vaccine
1453,1710,اتمنى تطعيم كورونا يصير اجباري عشان تعرفون تروجون اشاعات و تألفون يا اطباء يا علماء الأوبئة,0,Covid Vaccine
2727,3200,ما فيه شيء مستحيل عند محمد بن سلمان قبل وبعد السعودية مختلفه تماماً تمكين الشباب والبنات في المناصب القيادية في الدولة ومكنهم اكثر في سوق العمل وجعل المرأة تشارك في التنمية والتطور وهذا ما حدث,2,Women empowerment
80,96,#التحول_الإلكتروني_للخدمات_القضائية  نقطة تحول غي منظومة العمل القانوني ؛ ستوفر الكثير من الوقت على المتقاضين والمحامين عامة ؛ وتسرع من وتيرة العمل القضائي في جميع المحاكم العمانية ومحكمة القضاء الإداري .. URL,1,Digital Transformation
2311,2712, ليس للسيدة أدنى سلطان في الأرض شرع الله الذي يحاول الغرب تدميره ليسود الفحشاء و البغاء العالم كله علناً و لن يحدث بامر الله مهما حاولوا بزعمهم الفاشل تمكين المرأة في المجتمعات الأسلامية,2,Women empowerment
3347,3936,هناك عدة أشكال ومستويات للتحول الرقمي  ويعتمد ذلك على مجال المنظمة  ولكن بشكل عام التحول الرقمي هو أتمتة جميع المعاملات والخدمات التي تقدمها المنظمة واعتمادها على الأنظمة الالكترونية.,1,Digital Transformation
691,821,#نعم_للتطعيم  صح دكتور شكرا لكم ولجنه كورونا بتشديد الاجراءات وتطبيق الاجراءات الصحيه  وتشجيع وتحفيز للتطعيم لوصول مناعه مجتمعيه لخروج من ازمه كورونا .  لابد تعايش مع المرض وزياده وتيره تطعيم . URL,0,Covid Vaccine
1198,1413,MENTION  في فرق بين الادويه وبين اللقاح  اللقاح دوره يمنع المرض مو يخفف الاصابه  تطعيمات شهادة الميلاد كلها تمنع الاصابه شمعنى تطعيم كورونا مايمنع ؟,0,Covid Vaccine
3499,4119, ليس عصر تمكين المرأة . وإنما عصر تدمير الأسرة والمجتمع .ولكن غباء بعض النساء لايشعرن بذلك . بسبب نشوة الإنتصار الكاذب على الرجل .متى تعي المرأة المسلمة أن الهدف ليست هي وإنما مجتمعها كله ؟,2,Women empowerment
2900,3404,التحول الى التعليم الالكتروني  عن بعد لمدة 14 يوم URL,1,Digital Transformation
2576,3019,كنا نعاني من توظيف الاجانب والحين صارت المعاناه دبل مع تمكين المرأه  #الشهاده_الجامعيه,2,Women empowerment
202,240,  لا عاد الحمدلله انا ما اعرف واحد ما تطعم #تطعيم_كورونا,0,Covid Vaccine
3404,4006,سعودية و أفتخر ❤️والله صدق من قال شبابنا هم الثروة الحقيقة للبلد ❤️الله يحفظهم و يحميهم #تطعيم_كورونا تنظيم خراااافي إدارة حشود من العيار الثقيل أبدعتوا #وزارة_الصحة_السعودية ,0,Covid Vaccine
2218,2601,اشتراك النساء في مواقع متقدمة من صناعة القرار ليست هبه بل هيا ضرورة قصوى لإرساء دعائم ألأمن والسلام . #تمكين_المرأة  #اليمن. ⁦#UNWomen⁩  ⁦#OSESGY⁩ ⁦#GroupofNine⁩   ⁦#WoVoicesofPeace⁩ ⁦#LEAPYemen⁩  ⁦#JapanGov⁩ ,2,Women empowerment
2392,2806,#شكرا_المملكة_العربية_السعودية صراحة ما تقدمه المملكة من رقي في الخدمات دون تميز بين المواطن والمقيم في مجال تطعيم #كورونا يستاهل #الشكر والثناء والتقدير,0,Covid Vaccine
1953,2296, أتمنى أن تكون في الفترة القادمة خطط وبرامج شديدة ومتابعة وقت محدد مثلا التحول والربط الالكتروني بنسبة ١٠٠٪ وراح يقلل مصارف الاحبار والاوراق والملفات والخزانات والدولايب والملفات والاقلام والمخارن ....لخ!,1,Digital Transformation
3385,3983,يتحدث السفير   إلى الأهرام حول التعاون بين #المملكة_المتحدة و #مصر ، التجارة والاستثمار، COVID-19 ، التعليم ، تمكين المرأة ، COP26 وغيرها من القضايا الهامة  / 2537240.asp,2,Women empowerment
2299,2698,#تطعيم_كورونا  لحماية نفسك وعائلتك ومجتمعك  #وزارة_التعليم  #تعليم_نجران ,0,Covid Vaccine
2263,2652, تمكين المرأة كذبة,2,Women empowerment
1341,1586," تمكين المراة هو خراب للمجتمع.. ولعبوا علينا وحطوا مصطلح ""تمكين"" وانما هو تخريب للبيوت وزيادة لبطالة الشباب وزيادة لعنوسة البنات. وبعض الوظائف اصبحت مختلطة اختلاط فاحش وبسبب هذا انتشرت العلاقات المحرمة. اسال الله ان يغنينا بحلاله عن حرامه.",2,Women empowerment
2153,2529,نُقدّم في #معلوماتية حلول الرقمنة وإدارة المحتوى الرقمي  لتمكين عُملائنا من الاحتفاظ بجميع الوثائق المادية المُهمة وتصنيفها وأرشفتها  مع التحوّل إلى مشاريع ذات محتوى رقمي ذكي يُمكن من خلاله استرجاع الوثائق والمُستندات بسرعة فائقة وكفاءة عالية. #صباح_الخير #قطر  #Doha #Qatar URL,1,Digital Transformation
1243,1470,  ماندري وين بروح مع تمكين المراة من جرف لدحديرة,2,Women empowerment
2212,2594,في عالم يتقدم بسرعة نحو التحول الرقمي بالكامل   تعد رسائل البريد الإلكتروني جزءًا لا يمكن الاستغناء عنه في حياتنا العملية. يتم إرسال جميع رسائلنا الأساسية وإيجازات المهام والبيانات الرسمية والإعلانات وما إلى ذلك عبر البريد الإلكتروني.  #Android #Gmail  URL URL,1,Digital Transformation
141,173,اختصار الكلام: . بلا شك ان النساء قويات وذكيات ومبدعات😊 ولكنهم بحاجه الى تمكين وتشجيع والحصول على حقوقهم واحتياجاتهم البشريه كامله اولاً👍🏻 اي حضارة نلاقي الرجل فيها يخترع وينجز اكثر من المرأه، عادة بتكون حضارة فيه تمييز جنسي وظلم لحقوق المرأه😊 ,2,Women empowerment
2074,2433,MENTION غريبه انك ضد التطعيم ...... هو مثل تطعيم شلل الاطفال .... او الحصبه ..... او حتى زمان الجدري ....هو المرض يحقن في الانسان ..... وين الضرر من تطعيم كورونا ...... الحكومة ما قصرت دفعت مليارات ..... ل توفر اللقاح ل شعبها ......,0,Covid Vaccine
1735,2039,هل بإمكانكم توضيح أهم إنجازات الوزارة في التحول الإلكتروني حسب الأعوام..؟   #خليها_online  #خليك_بالبيت,1,Digital Transformation
657,783,ليش انتي ضد تطعيم كورونا ؟ — لأنه انسلق سلق والعلم لايعرف اضراره ع المدى البعيد لذلك ماراح اخذه الا لو أُجبرت على ذلك .  URL,0,Covid Vaccine
3320,3903,الرياضة لاتكون غير مدروسة في انحناءآت لساعات  طويلة تتحول الى اعاقات  الحركة مطلوبة مدروسة ولديك الكثير لتعملية  وتخططي لأجله ...! فقد بات سعرها اليوم في متناول الجميع  #تمكين_المرأة #حقوق_الطفل #حقوق_الانسان,2,Women empowerment
2790,3279,وش استفدنا من تمكين المرأه؟ ,2,Women empowerment
3436,4045,تطبيقاً لحملة التحول الإلكتروني ورقمنة العمليات المالية لصرف وتسديد القروض للتسهيل على المستفيدين من الخدمات المالية وتعزيز وصولهم للخدمات بوسائل آمنة ومناسبة  أطلق البنك الوطني لتمويل المشاريع الصغيرة حملة تسويقية وإرشادية للعمملاء في تسعة من فروع البنك في محافظتي إربد والمفرق. URL,1,Digital Transformation
1686,1985,مبدأ الاستقلال الذاتي autonomy ينص على أن الفرد العاقل  هو كائن مكتفي بذاته وله القدرة على صنع قراره بنفسه..  الزامية #تطعيم_كورونا في الدولة وتقييد حركة غير المتطعمين اشارة للإخلال بهذا المبدأ الرئيسي  من الأخلاق الطبية في ممارسة الطب الحديث,0,Covid Vaccine
2266,2655,تظهر مؤشرات التقارير العالمية ريادة المملكة في تمكين المرأة، وتعزيز دورها الحيوي في مسيرة التنمية. وفي هذا اليوم نحتفي ونفخر بإنجازات المرأة السعودية، التي تسابق بها الزمن. #يوم_المرأة_العالمي ,2,Women empowerment
259,315, ٢٠٢١!!! إجراء متعب ويمكن الاستغناء عن مثل هذه الإجراءات ولكن هناك حاجة  في نفس يعقوب!    ومثل هذه الإجراءات لا تتماشى مع التحول الإلكتروني ورؤية ٢٠٤٠,1,Digital Transformation
663,790,كورونا اصبحت من الماضي بعد حرب اوكرانيا واتضح حتي للغبي مدى سخافه هذا الموضوع   الامر بات واضح ان الهدف من كل هذه الضجه هو التطعيم …. وبات واضح سياسات التشدد بالدول … وانتهت الكثير من الدول من عمل تطعيم … السخافه بالموضوع ان هناك من يعتقد الى الان ان التطعيم حمايه,0,Covid Vaccine
1594,1880,MENTION ليش مايكونون هم اللي قتلوه مو كورونا 🤔🤔 عندنا تطعيم امراض ثانيه ماحد جبرنا عليه  ومع انه مرض قاتل ماحد جبرنا عليه  وش معنى كورونا بالدات نجبر على اخذ لقاحه؟! لغز محيّير ؟!!,0,Covid Vaccine
173,208,  مشروع الربط الالكتروني سوف يشكل دفعة قوية في مجال التحول الرقمي  ويختصر الوقت والجهد في التواصل بين الجهات الحكومية  حفظ الله سمو الامير ووفقهم الله,1,Digital Transformation
2418,2833,بنطلب التحول الرقمي للخدمات والربط التقني بين مؤسسات الدوله وبلاش المواطن يتعامل مع الموظف بشكل مباشر ومع ذلك مش شايفين تحركات ف الاتجاه ده .. عايزين دوله عصريه متطوره مش بس في انشاءتها كمان في مؤسساتها ..,1,Digital Transformation
1205,1423, الله يوفقكم شباب والله الحياة صارة صعبه والوظيفه صارت أصعب لكن ختاما ماقول الا الله يلعن تمكين المرأه واليوم اللي دخلوا فيه سوق العمل,2,Women empowerment
2026,2382,#تطعيم_كورونا تم اليوم التطعيم وبدون ألم أو مضاعفات ولله الحمد,0,Covid Vaccine
1644,1938,ممتنة للقدر اللي جعلني إمرأه سعودية، ألمس وأرى تمكين المرأه يومياً في وطني .. عملي حقوقي وواجباتي وسلم راتب لايفرق بين إمرأه أو رجل بل لدينا بعض المميزات، إجازة وضع وساعات رضاعه وإجازة أمومة وكثير من المزايا الحمدلله 💕   أتمنى لنساء العالم العدل والمساواة   #يوم_المرأة_العالمي,2,Women empowerment
1350,1596,  ما اتكلم عن مفهومك للتمكين..تمكين المرأة برنامج كامل تحته مبادرات مثل برامج دعم المواصلات للمرأة من هدف ونسبة التأنيث المشروطه ببرنامج نطاقات من وزارة الموارد الي يُدعم فيه راتب المرأة اكثر من الرجل بفارق 20%  ليش ما أمكّن المواطن السعو,2,Women empowerment
1760,2071, للأسف كنا ننتظر من التحول الألكتروني المساهمة في العدالة الناجزة   ولكن وصل بنا الحال للعدالة العاجزة   ليس العيب في الفكرة ولكن في التطبيق !,1,Digital Transformation
1714,2016, مسرحية تمكين المرأه اللي قاعدين يمثلونها تضحك وتحزن بنفس الوقت💔😂,2,Women empowerment
1699,1999,    إذا تريد تكون فأر تجارب فخذ التطعيم. لقاح لم يتجاوز مدة تجربته 4 أشهرعلى الحيوانات و عدد قليل من الأشخاص المتطوعين لا يعتبر تطعيم. بل هذه جريمة في حق الإنسانية بتجربة لقاح على كل العالم تحت ذريعة الترهيب و نشر ا,0,Covid Vaccine
979,1154,"- المرأة وحاجة المجتمع - ساهمت الصحوة بشكل كبير في جعل المرأة بلا عمل بحجة ذكورية ""أن الرجل عيب تصرف عليه المرأة"" - التيار الصحوي جعل من المرأة منصة للصراع لضمان البقاء والسيطرة على المجتمع - تأثير الصحوة انعكس على عقلية الحكومة تجاه تمكين المرأة د. عبدال",2,Women empowerment
1818,2139, شاكرة ومقدرة انضمامي لمجموعة مشرّفة من ابناء وبنات الوطن لمناقشة الشمول التقني   ما احوجنا للتركيز على التحول الرقمي في ظل اقتصاد متحوّر  وظروف صعبة   باذن الله بجهود الجميع نصل,1,Digital Transformation
1871,2204,بيل غيتس يرفض تطعيم اللقاح لأطفاله ضد فايروس كورونا  في حين يريد من الآخرين فعل ذلك! URL,0,Covid Vaccine
2908,3412, تم اخذا القاح الاولي والثانيه الحمدلله لم يحصل ليه اي شي ولا اعراض مع انني خالطت كم شخص مصاب بكورونا بفضل الله ثم اخذا  تطعيم لقاح كورونا لم تنتقل لي العدوى  انصح لمن لم يتطعم اخذا اللقاح في اسرع وقت,0,Covid Vaccine
1467,1730,    المهارات الرقمية هي محور المستقبل لكن للاستعداد للمستقبل بشمولية وبأسلوب يحيط بكافة جوانب نموذج الاعمال المستقبلي يجب تنمية جانب المهارت المعرفية الانسانية كالتواصل والتنسيق وحل المشكلات والعمل الجماعي باطار رقمي ي,1,Digital Transformation
2861,3359,من المؤكد أن الأزمة التي واجهت القطاع التعليمي بسبب تفشي فيروس كورونا دفعت التعلم الإلكتروني نحو الواجهة  فغدا خياراً لا بديل عنه.  سيواجه المعلمون تحديات كبيرة لمواكبة هذا التحول المفاجئ  إلا أنه بالتخطيط المناسب يمكن التغلب على كثير من العقبات.,1,Digital Transformation
2764,3244,أشكر منسوبي مستشفى أضم العام على حسن التنظيم والاستقبال المميز في تطعيم كورونا وعلى سلاسة الإجراءات وسهولتها فجزاهم الله خيرا على التنظيم الرائع #كورونا ,0,Covid Vaccine
320,384,#تطعيم_كورونا كان لصفوف الاماميه ثم الان اصبح الكويتين فقط !!   والكويتين ليس كلهم هم يطعمون ومقتنعين فيه !!   +  وضف على ذلك  صفوف الاماميه لم يتم الانتهاء منهم الى الان؟؟  السؤال احد يفهمني كيف نصل الى مناعة المجتمعة بهذه طريقه؟!🤔,0,Covid Vaccine
642,768, تمكين المرأة وتفاعلها مع المجتمع خطوة مهمة وفي الاتجاه الصحيح,2,Women empowerment
3136,3680,لا شك أن حاجتها أجبرتها على العمل في هذا المكان وتحت هذه الظروف مع العمالة الوافدة...  #تمكين_المرأة في زمن الترفيه #ايش_ودكم_تقولون ,2,Women empowerment
2140,2516,ولله الحمد والمنّة تم أخذ #تطعيم #لقاح #فايزر  أسأل الله العظيم رب العرش العظيم السلامة للجميع.  #الكويت  #كورونا ,0,Covid Vaccine
